name,value,year,rank
Apple,214480.0,2018.0,1
Apple,211447.400000003,2017.9,1
Apple,208414.799999999,2017.8,1
Apple,205382.200000001,2017.7,1
Apple,202349.599999997,2017.6,1
Apple,199317.0,2017.5,1
Apple,196284.400000003,2017.4,1
Apple,193251.799999999,2017.3,1
Apple,190219.200000001,2017.2,1
Apple,187186.599999997,2017.1,1
Apple,184154.0,2017.0,1
Apple,183550.500000001,2016.9,1
Apple,182947.0,2016.8,1
Apple,182343.5,2016.7,1
Apple,181739.999999999,2016.6,1
Apple,181136.5,2016.5,1
Apple,180533.000000001,2016.4,1
Apple,179929.5,2016.3,1
Apple,179326.0,2016.2,1
Apple,178722.499999999,2016.1,1
Apple,178119.0,2016.0,1
Apple,177334.700000001,2015.9,1
Apple,176550.4,2015.8,1
Apple,175766.1,2015.7,1
Apple,174981.799999999,2015.6,1
Apple,174197.5,2015.5,1
Apple,173413.200000001,2015.4,1
Apple,172628.9,2015.3,1
Apple,171844.6,2015.2,1
Apple,171060.299999999,2015.1,1
Apple,170276.0,2015.0,1
Apple,165134.700000005,2014.9,1
Apple,159993.399999998,2014.8,1
Google,155506.0,2018.0,2
Apple,154852.100000002,2014.7,1
Google,154125.700000001,2017.9,2
Google,152745.399999999,2017.8,2
Google,151365.100000001,2017.7,2
Google,149984.799999999,2017.6,2
Apple,149710.799999995,2014.6,1
Google,148604.5,2017.5,2
Google,147224.200000001,2017.4,2
Google,145843.899999999,2017.3,2
Apple,144569.5,2014.5,1
Google,144463.600000001,2017.2,2
Google,143083.299999999,2017.1,2
Google,141703.0,2017.0,2
Google,140857.900000001,2016.9,2
Google,140012.8,2016.8,2
Apple,139428.200000005,2014.4,1
Google,139167.7,2016.7,2
Google,138322.599999999,2016.6,2
Google,137477.5,2016.5,2
Google,136632.400000001,2016.4,2
Google,135787.3,2016.3,2
Google,134942.2,2016.2,2
Apple,134286.899999998,2014.3,1
Google,134097.099999999,2016.1,2
Google,133252.0,2016.0,2
Google,131958.200000001,2015.9,2
Google,130664.399999999,2015.8,2
Google,129370.600000001,2015.7,2
Apple,129145.600000002,2014.2,1
Google,128076.799999999,2015.6,2
Google,126783.0,2015.5,2
Google,125489.200000001,2015.4,2
Google,124195.399999999,2015.3,2
Apple,124004.299999995,2014.1,1
Google,122901.600000001,2015.2,2
Google,121607.799999999,2015.1,2
Google,120314.0,2015.0,2
Google,119026.500000001,2014.9,2
Apple,118863.0,2014.0,1
Google,117738.999999999,2014.8,2
Apple,116808.300000002,2013.9,1
Google,116451.500000001,2014.7,2
Google,115163.999999999,2014.6,2
Apple,114753.599999999,2013.8,1
Google,113876.5,2014.5,2
Apple,112698.900000001,2013.7,1
Google,112589.000000001,2014.4,2
Google,111301.499999999,2014.3,2
Apple,110644.199999998,2013.6,1
Google,110014.000000001,2014.2,2
Google,108726.499999999,2014.1,2
Apple,108589.5,2013.5,1
Google,107439.0,2014.0,2
Apple,106534.800000002,2013.4,1
Google,106024.200000001,2013.9,2
Google,104609.399999999,2013.8,2
Apple,104480.099999999,2013.3,1
Google,103194.600000001,2013.7,2
Apple,102425.400000001,2013.2,1
Google,101779.799999999,2013.6,2
Amazon,100764.0,2018.0,3
Apple,100370.699999998,2013.1,1
Google,100365.0,2013.5,2
Google,98950.2000000013,2013.4,2
Apple,98316.0,2013.0,1
Google,97535.3999999994,2013.3,2
Amazon,97167.2000000033,2017.9,3
Apple,96141.200000002,2012.9,1
Google,96120.6000000006,2013.2,2
Google,94705.7999999987,2013.1,2
Apple,93966.399999999,2012.8,1
Amazon,93570.3999999984,2017.8,3
Google,93291.0,2013.0,2
Microsoft,92715.0,2018.0,4
Apple,91791.600000001,2012.7,1
Microsoft,91443.4000000012,2017.9,4
Google,90934.5000000021,2012.9,2
Microsoft,90171.7999999994,2017.8,4
Amazon,89973.6000000016,2017.7,3
Apple,89616.799999998,2012.6,1
Microsoft,88900.2000000006,2017.7,4
Google,88577.9999999989,2012.8,2
Microsoft,87628.5999999988,2017.6,3
Apple,87442.0,2012.5,1
Amazon,86376.7999999967,2017.6,4
Microsoft,86357.0,2017.5,3
Google,86221.5000000011,2012.7,2
Apple,85267.200000002,2012.4,1
Microsoft,85085.4000000012,2017.4,3
Google,83864.9999999979,2012.6,2
Microsoft,83813.7999999994,2017.3,3
Apple,83092.399999999,2012.3,1
Amazon,82780.0,2017.5,4
Microsoft,82542.2000000006,2017.2,3
Coca-Cola,81563.0,2014.0,3
Google,81508.5,2012.5,2
Coca-Cola,81328.0000000002,2013.9,3
Microsoft,81270.5999999988,2017.1,3
Coca-Cola,81249.0000000003,2014.1,3
Coca-Cola,81092.9999999999,2013.8,3
Coca-Cola,80934.9999999999,2014.2,3
Apple,80917.600000001,2012.2,1
Coca-Cola,80858.0000000001,2013.7,3
Coca-Cola,80622.9999999998,2013.6,3
Coca-Cola,80621.0000000001,2014.3,3
Coca-Cola,80388.0,2013.5,3
Coca-Cola,80306.9999999997,2014.4,3
Coca-Cola,80153.0000000002,2013.4,3
Microsoft,79999.0,2017.0,3
Coca-Cola,79993.0,2014.5,3
Coca-Cola,79917.9999999999,2013.3,3
Coca-Cola,79683.0000000001,2013.2,3
Coca-Cola,79679.0000000003,2014.6,3
Coca-Cola,79447.9999999998,2013.1,3
Coca-Cola,79364.9999999999,2014.7,3
Microsoft,79278.6000000007,2016.9,3
Coca-Cola,79213.0,2013.0,3
Amazon,79183.2000000033,2017.4,4
Google,79152.0000000021,2012.4,2
Coca-Cola,79075.6000000001,2012.9,3
Coca-Cola,79051.0000000001,2014.8,3
Coca-Cola,78938.1999999999,2012.8,3
IBM,78808.0,2013.0,4
Coca-Cola,78800.8000000001,2012.7,3
Apple,78742.799999998,2012.1,1
Coca-Cola,78736.9999999997,2014.9,3
Coca-Cola,78663.3999999999,2012.6,3
Microsoft,78558.1999999997,2016.8,3
Coca-Cola,78526.0,2012.5,3
IBM,78480.4000000003,2012.9,4
Coca-Cola,78423.0,2015.0,3
Coca-Cola,78388.6000000001,2012.4,3
Coca-Cola,78251.1999999999,2012.3,2
IBM,78152.7999999999,2012.8,4
IBM,78151.6000000006,2013.1,4
Coca-Cola,78113.8000000001,2012.2,2
Coca-Cola,77976.3999999999,2012.1,2
Coca-Cola,77890.9000000005,2015.1,3
Coca-Cola,77839.0,2012.0,1
Microsoft,77837.8000000003,2016.7,3
IBM,77825.2000000001,2012.7,4
IBM,77497.5999999997,2012.6,4
IBM,77495.1999999997,2013.2,4
Coca-Cola,77358.7999999998,2015.2,3
Coca-Cola,77241.2000000006,2011.9,1
IBM,77170.0,2012.5,4
Microsoft,77117.3999999993,2016.6,3
IBM,76842.4000000003,2012.4,4
IBM,76838.8000000003,2013.3,4
Coca-Cola,76826.7000000002,2015.3,3
Google,76795.4999999989,2012.3,3
Coca-Cola,76643.3999999997,2011.8,1
Apple,76568.0,2012.0,2
IBM,76514.7999999999,2012.3,4
Microsoft,76397.0,2016.5,3
Coca-Cola,76294.5999999995,2015.4,3
IBM,76187.2000000001,2012.2,3
IBM,76182.3999999994,2013.4,4
Coca-Cola,76045.6000000003,2011.7,1
IBM,75859.5999999997,2012.1,3
Coca-Cola,75762.5,2015.5,3
Microsoft,75676.6000000007,2016.4,3
Amazon,75586.3999999984,2017.3,4
IBM,75532.0,2012.0,3
IBM,75526.0,2013.5,4
Coca-Cola,75447.7999999994,2011.6,1
Coca-Cola,75230.4000000005,2015.6,3
IBM,74969.3000000005,2011.9,2
Microsoft,74956.1999999997,2016.3,3
IBM,74869.6000000006,2013.6,4
Coca-Cola,74850.0,2011.5,1
Coca-Cola,74698.2999999998,2015.7,3
Google,74439.0000000011,2012.2,4
IBM,74406.5999999997,2011.8,2
Coca-Cola,74252.2000000006,2011.4,1
Microsoft,74235.8000000003,2016.2,3
IBM,74213.1999999997,2013.7,4
Coca-Cola,74166.2000000002,2015.8,3
IBM,73843.9000000003,2011.7,2
Coca-Cola,73654.3999999997,2011.3,1
Coca-Cola,73634.0999999995,2015.9,3
IBM,73556.8000000003,2013.8,4
Microsoft,73515.3999999993,2016.1,3
IBM,73281.1999999995,2011.6,2
Coca-Cola,73102.0,2016.0,3
Coca-Cola,73056.6000000003,2011.2,1
IBM,72900.3999999994,2013.9,4
Microsoft,72795.0,2016.0,4
Coca-Cola,72765.1000000003,2016.1,4
IBM,72718.5,2011.5,2
Coca-Cola,72537.0,2000.0,1
Coca-Cola,72458.7999999994,2011.1,1
Coca-Cola,72428.1999999999,2016.2,4
Microsoft,72282.5000000005,2015.9,4
Apple,72260.4000000039,2011.9,3
IBM,72244.0,2014.0,4
Coca-Cola,72177.8000000003,2000.1,1
IBM,72155.8000000005,2011.4,2
Coca-Cola,72091.3000000001,2016.3,4
Google,72082.4999999979,2012.1,4
Amazon,71989.6000000016,2017.2,4
Coca-Cola,71861.0,2011.0,1
Coca-Cola,71818.5999999998,2000.2,1
Microsoft,71769.9999999998,2015.8,4
Coca-Cola,71754.3999999997,2016.4,4
Coca-Cola,71720.1000000001,2010.9,1
